horizon,mse,rmse,mae,mdape,smape,coverage
2 days,1.3363516333271066,1.1560067617999068,0.784482575942977,0.259886572649505,0.2704454815519734,0.9090909090909091
3 days,0.9697689548786758,0.9847684778051518,0.7343552297801827,0.259886572649505,0.3820061302094839,0.9659090909090909
4 days,1.0608985590577928,1.0299993005132542,0.8368943162521437,0.4099150760096115,0.6616123806742044,1.0
5 days,10.546269372768496,3.247502020441018,2.1318260052069067,0.6158408220861982,1.059991942761212,0.8181818181818182
6 days,6.458003888455039,2.541260295297402,1.9193448272773705,0.6029534501994067,1.000211872597018,0.75
7 days,2.191468445158694,1.480360917195092,1.2801036405135202,0.6367156890276038,0.8573039579964388,0.8409090909090909
8 days,1.3527649680282323,1.163084248035469,1.028177093811873,0.456269107061681,0.7712245901410785,0.9659090909090909
9 days,1.9086730049813356,1.3815473227440802,1.1018257103936888,0.39656259496343693,0.624393454436742,0.9090909090909091
10 days,2.370209435971964,1.5395484519728386,1.1545809694421891,0.5400389508988952,0.6500036970077144,0.7840909090909091
11 days,1.3947967102129597,1.1810151185369981,0.8956514948596112,0.7275389055831804,0.7401201733275905,0.9318181818181818
12 days,1.0255804075368398,1.012709438850473,0.8648401504569048,0.6244411224750788,0.7697185340699416,1.0
13 days,0.7317320542788917,0.8554133821018302,0.6392416616892397,0.27182776144028464,0.5420946394088489,1.0
14 days,0.9720681472488354,0.985935163815976,0.8025127085756789,0.6049503641055975,0.9366531217793098,1.0
