商品编码,日期,商品名称,销售数量,销售金额,销售净额,折扣金额,售价,是否促销,平均售价,实际折扣率,星期,月份,是否周末,是否月末,季度,年份,日期序号,销量_滞后1天,销量_滞后3天,销量_滞后7天,销量_滞后14天,销量_滞后30天,销量_7天均值,销量_7天标准差,销量_7天最大值,销量_7天最小值,销量_14天均值,销量_14天标准差,销量_14天最大值,销量_14天最小值,销量_30天均值,销量_30天标准差,销量_30天最大值,销量_30天最小值,销量_7天趋势,销量_同比上周,温度,最高温度,最低温度,降雨量,温度差,是否恶劣天气,是否节假日,节假日前1天,节假日后1天,节假日连续天数,促销_周末交互,促销_月末交互,天气_促销交互,温度等级_编码,节假日类型_编码
4701098,2025-01-01,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0,2,1,0,0,1,2025,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,19.0,21,17,0,4,0,1,0.0,0.0,1,0.0,0.0,0.0,0,0
4701098,2025-01-02,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0,3,1,0,0,1,2025,1,2.0,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,2.0,0.0,1.0,1.4142135623730951,2.0,0.0,1.0,1.4142135623730951,2.0,0.0,0.0,0.0,17.5,22,13,0,9,0,0,1.0,0.0,0,0.0,0.0,0.0,0,1
4701098,2025-01-03,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0,4,1,0,0,1,2025,2,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.1547005383792517,2.0,0.0,1.3333333333333333,1.1547005383792517,2.0,0.0,1.3333333333333333,1.1547005383792517,2.0,0.0,0.0,0.0,17.0,23,11,0,12,0,0,0.0,1.0,0,0.0,0.0,0.0,0,1
4701098,2025-01-04,福荫韧豆腐380g,7.0,34.93,30.911504428,0.0,5.99,0.0,4.99,1.0,5,1,1,0,1,2025,3,2.0,2.0,0.0,0.0,0.0,2.75,2.9860788111948198,7.0,0.0,2.75,2.9860788111948198,7.0,0.0,2.75,2.9860788111948198,7.0,0.0,0.0,0.0,18.0,22,14,0,8,0,1,0.0,1.0,2,7.0,0.0,0.0,0,0
4701098,2025-01-05,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0,6,1,1,0,1,2025,4,7.0,0.0,0.0,0.0,0.0,2.8,2.5884358211089573,7.0,0.0,2.8,2.5884358211089573,7.0,0.0,2.8,2.5884358211089573,7.0,0.0,0.0,0.0,18.0,23,13,0,10,0,1,1.0,0.0,2,3.0,0.0,0.0,0,0
4701098,2025-01-06,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0,0,1,0,0,1,2025,5,3.0,2.0,0.0,0.0,0.0,2.6666666666666665,2.3380903889000244,7.0,0.0,2.6666666666666665,2.3380903889000244,7.0,0.0,2.6666666666666665,2.3380903889000244,7.0,0.0,0.0,0.0,18.0,23,13,0,10,0,0,1.0,0.0,0,0.0,0.0,0.0,0,1
4701098,2025-01-07,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0,1,1,0,0,1,2025,6,2.0,7.0,0.0,0.0,0.0,2.4285714285714284,2.2253945610567474,7.0,0.0,2.4285714285714284,2.2253945610567474,7.0,0.0,2.4285714285714284,2.2253945610567474,7.0,0.0,0.0,0.0,18.0,22,14,0,8,0,0,0.0,0.0,0,0.0,0.0,0.0,0,1
4701098,2025-01-08,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0,2,1,0,0,1,2025,7,1.0,3.0,2.0,0.0,0.0,2.4285714285714284,2.2253945610567474,7.0,0.0,2.375,2.065879266282796,7.0,0.0,2.375,2.065879266282796,7.0,0.0,0.2142857142857142,2.0,18.0,22,14,0,8,0,0,0.0,0.0,0,0.0,0.0,0.0,0,1
4701098,2025-01-09,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0,3,1,0,0,1,2025,8,2.0,2.0,0.0,0.0,0.0,2.857142857142857,1.9518001458970666,7.0,1.0,2.4444444444444446,1.9436506316151,7.0,0.0,2.4444444444444446,1.9436506316151,7.0,0.0,1.8571428571428572,0.0,15.5,21,10,0,11,0,0,0.0,0.0,0,0.0,0.0,0.0,0,1
4701098,2025-01-10,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0,4,1,0,0,1,2025,9,3.0,1.0,2.0,0.0,0.0,3.0,1.9148542155126764,7.0,1.0,2.5,1.8408935028645435,7.0,0.0,2.5,1.8408935028645435,7.0,0.0,1.25,2.0,13.5,18,9,0,9,0,0,0.0,1.0,0,0.0,0.0,0.0,0,1
4701098,2025-01-11,福荫韧豆腐380g,4.0,19.96,17.663716816,0.0,5.99,0.0,4.99,1.0,5,1,1,0,1,2025,10,3.0,2.0,7.0,0.0,0.0,2.5714285714285716,0.9759000729485334,4.0,1.0,2.6363636363636362,1.8040358795061298,7.0,0.0,2.6363636363636362,1.8040358795061298,7.0,0.0,-0.06493506493506485,7.0,12.5,17,8,0,9,0,1,0.0,1.0,2,4.0,0.0,0.0,0,0
4701098,2025-01-12,福荫韧豆腐380g,8.0,39.92,35.327433631000005,0.0,5.99,0.0,4.99,1.0,6,1,1,0,1,2025,11,4.0,3.0,3.0,0.0,0.0,3.2857142857142856,2.2886885410853175,8.0,1.0,3.0833333333333335,2.314316444667973,8.0,0.0,3.0833333333333335,2.314316444667973,8.0,0.0,0.17346938775510212,3.0,14.5,20,9,0,11,0,1,1.0,0.0,2,8.0,0.0,0.0,0,0
4701098,2025-01-13,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0,0,1,0,0,1,2025,12,8.0,3.0,2.0,0.0,0.0,3.2857142857142856,2.2886885410853175,8.0,1.0,3.0,2.23606797749979,8.0,0.0,3.0,2.23606797749979,8.0,0.0,0.2321428571428572,2.0,16.5,19,14,0,5,0,0,1.0,0.0,0,0.0,0.0,0.0,0,1
4701098,2025-01-14,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0,1,1,0,0,1,2025,13,2.0,4.0,1.0,0.0,0.0,3.2857142857142856,2.2886885410853175,8.0,1.0,2.857142857142857,2.2138425646596693,8.0,0.0,2.857142857142857,2.2138425646596693,8.0,0.0,0.3529411764705883,1.0,17.0,20,14,0,6,0,0,0.0,0.0,0,0.0,0.0,0.0,0,1
4701098,2025-01-15,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0,2,1,0,0,1,2025,14,1.0,8.0,2.0,2.0,0.0,3.4285714285714284,2.225394561056748,8.0,1.0,2.9285714285714284,2.2001498450467736,8.0,0.0,2.8666666666666667,2.133630931623591,8.0,0.0,0.41176470588235303,2.0,16.0,22,10,0,12,0,0,0.0,0.0,0,0.0,0.0,0.0,0,1
4701098,2025-01-16,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0,3,1,0,0,1,2025,15,3.0,2.0,3.0,0.0,0.0,3.2857142857142856,2.2886885410853175,8.0,1.0,3.0714285714285716,2.05554730553075,8.0,1.0,2.8125,2.0726392192886185,8.0,0.0,0.1499999999999999,3.0,15.5,20,11,0,9,0,0,0.0,0.0,0,0.0,0.0,0.0,0,1
4701098,2025-01-17,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0,4,1,0,0,1,2025,16,2.0,1.0,3.0,2.0,0.0,3.0,2.4494897427831783,8.0,1.0,3.0,2.1122354181147664,8.0,1.0,2.7058823529411766,2.0544070276588617,8.0,0.0,0.0,3.0,15.5,20,11,0,9,0,0,0.0,1.0,0,0.0,0.0,0.0,0,1
