日期,text_day,code_day,text_night,code_night,最高温度,最低温度,温度,降雨量
2025-11-01,阵雨,3,多云,1,28,22,25.0,0
2025-10-31,多云,1,阴,2,30,21,25.5,0
2025-10-30,多云,1,多云,1,28,23,25.5,0
2025-10-29,多云,1,阴,2,28,23,25.5,0
2025-10-28,多云,1,多云,1,26,21,23.5,0
2025-10-27,阴,2,多云,1,26,22,24.0,0
2025-10-26,多云,1,多云,1,29,22,25.5,0
2025-10-25,多云,1,多云,1,28,21,24.5,0
2025-10-24,多云,1,多云,1,23,20,21.5,0
2025-10-23,阴,2,阴,2,22,18,20.0,0
2025-10-22,阵雨,3,阴,2,20,16,18.0,0
2025-10-21,阵雨,3,中雨,8,22,17,19.5,0
2025-10-20,小雨,7,小雨,7,29,19,24.0,0
2025-10-19,多云,1,多云,1,33,24,28.5,0
2025-10-18,晴,0,多云,1,34,26,30.0,0
2025-10-17,晴,0,晴,0,33,26,29.5,0
2025-10-16,晴,0,晴,0,33,26,29.5,0
2025-10-15,多云,1,多云,1,33,26,29.5,0
2025-10-14,多云,1,多云,1,32,26,29.0,0
2025-10-13,阵雨,3,阵雨,3,31,26,28.5,0
2025-10-12,阵雨,3,阵雨,3,31,25,28.0,0
2025-10-11,多云,1,阵雨,3,32,26,29.0,0
2025-10-10,晴,0,多云,1,34,26,30.0,0
2025-10-09,晴,0,晴,0,34,26,30.0,0
2025-10-08,晴,0,晴,0,34,26,30.0,0
2025-10-07,多云,1,晴,0,34,26,30.0,0
2025-10-06,阵雨,3,多云,1,33,25,29.0,0
2025-10-05,雷阵雨,4,阵雨,3,31,26,28.5,0
2025-10-04,雷阵雨,4,雷阵雨,4,34,25,29.5,0
2025-10-03,晴,0,阵雨,3,34,26,30.0,0
2025-10-02,晴,0,晴,0,34,26,30.0,0
2025-10-01,晴,0,晴,0,33,26,29.5,0
2025-09-30,晴,0,晴,0,33,26,29.5,0
2025-09-29,多云,1,晴,0,32,26,29.0,0
2025-09-28,多云,1,多云,1,32,27,29.5,0
2025-09-27,多云,1,多云,1,32,27,29.5,0
2025-09-26,多云,1,多云,1,31,26,28.5,0
2025-09-25,阵雨,3,多云,1,29,26,27.5,0
2025-09-24,暴雨,10,大到暴雨,23,28,24,26.0,0
2025-09-23,暴雨,10,大暴雨,11,34,24,29.0,0
2025-09-22,多云,1,雷阵雨,4,34,26,30.0,0
2025-09-21,雷阵雨,4,多云,1,30,25,27.5,0
2025-09-20,阵雨,3,暴雨,10,28,24,26.0,0
2025-09-19,阵雨,3,大雨,9,30,24,27.0,0
2025-09-18,阵雨,3,阵雨,3,34,25,29.5,0
2025-09-17,多云,1,多云,1,33,28,30.5,0
2025-09-16,阵雨,3,多云,1,33,26,29.5,0
2025-09-15,多云,1,多云,1,33,26,29.5,0
2025-09-14,晴,0,多云,1,33,26,29.5,0
2025-09-13,晴,0,晴,0,34,26,30.0,0
2025-09-12,晴,0,晴,0,33,26,29.5,0
2025-09-11,晴,0,晴,0,33,26,29.5,0
2025-09-10,阵雨,3,晴,0,32,26,29.0,0
2025-09-09,阵雨,3,阵雨,3,31,26,28.5,0
2025-09-08,暴雨,10,大雨,9,29,26,27.5,0
2025-09-07,阵雨,3,暴雨,10,31,25,28.0,0
2025-09-06,多云,1,阵雨,3,34,27,30.5,0
2025-09-05,晴,0,晴,0,34,27,30.5,0
2025-09-04,多云,1,多云,1,34,27,30.5,0
2025-09-03,雷阵雨,4,多云,1,34,27,30.5,0
2025-09-02,晴,0,多云,1,33,26,29.5,0
2025-09-01,晴,0,多云,1,34,26,30.0,0
2025-08-31,阵雨,3,阵雨,3,32,26,29.0,0
2025-08-30,阵雨,3,多云,1,33,27,30.0,0
2025-08-29,阵雨,3,多云,1,33,28,30.5,0
2025-08-28,小雨,7,阵雨,3,29,26,27.5,0
2025-08-27,小雨,7,小雨,7,31,24,27.5,0
2025-08-26,晴,0,小雨,7,31,25,28.0,0
2025-08-25,小雨,7,小雨,7,29,25,27.0,0
2025-08-24,小雨,7,小雨,7,29,25,27.0,0
2025-08-23,小雨,7,小雨,7,31,26,28.5,0
2025-08-22,小雨,7,多云,1,32,26,29.0,0
2025-08-21,小雨,7,阴,2,29,25,27.0,0
2025-08-20,小雨,7,小雨,7,29,26,27.5,0
2025-08-19,小雨,7,小雨,7,28,25,26.5,0
2025-08-18,中雨,8,小雨,7,26,24,25.0,0
2025-08-17,小雨,7,中雨,8,26,24,25.0,0
2025-08-16,小雨,7,小雨,7,28,26,27.0,0
2025-08-15,小雨,7,小雨,7,28,25,26.5,0
2025-08-14,中雨,8,小雨,7,26,25,25.5,0
2025-08-13,小雨,7,小雨,7,29,26,27.5,0
2025-08-12,小雨,7,小雨,7,28,26,27.0,0
2025-08-11,大雨,9,小雨,7,28,26,27.0,0
2025-08-10,小雨,7,小雨,7,28,25,26.5,0
2025-08-09,小雨,7,小雨,7,28,26,27.0,0
2025-08-08,小雨,7,阴,2,28,25,26.5,0
2025-08-07,小雨,7,小雨,7,28,26,27.0,0
2025-08-06,小雨,7,小雨,7,28,26,27.0,0
2025-08-05,暴雨,10,中雨,8,30,25,27.5,0
2025-08-04,暴雨,10,暴雨,10,29,25,27.0,0
2025-08-03,暴雨,10,暴雨,10,30,26,28.0,0
2025-08-02,暴雨,10,暴雨,10,31,25,28.0,0
2025-08-01,雷阵雨,4,雷阵雨,4,32,25,28.5,0
2025-07-31,雷阵雨,4,雷阵雨,4,32,25,28.5,0
2025-07-30,中雨,8,雷阵雨,4,33,26,29.5,0
2025-07-29,雷阵雨,4,雷阵雨,4,31,26,28.5,0
2025-07-28,阵雨,3,大雨,9,32,26,29.0,0
2025-07-27,多云,1,多云,1,34,27,30.5,0
2025-07-26,多云,1,晴,0,33,27,30.0,0
2025-07-25,晴,0,晴,0,34,28,31.0,0
2025-07-24,多云,1,晴,0,34,27,30.5,0
2025-07-23,阵雨,3,多云,1,32,27,29.5,0
2025-07-22,大雨,9,阵雨,3,31,26,28.5,0
2025-07-21,暴雨,10,阵雨,3,29,25,27.0,0
2025-07-20,暴雨,10,暴雨,10,29,26,27.5,0
2025-07-19,大到暴雨,23,大到暴雨,23,35,26,30.5,0
2025-07-18,雷阵雨,4,雷阵雨,4,33,27,30.0,0
2025-07-17,晴,0,多云,1,35,28,31.5,0
2025-07-16,阵雨,3,多云,1,34,28,31.0,0
2025-07-15,晴,0,多云,1,33,28,30.5,0
2025-07-14,多云,1,多云,1,33,28,30.5,0
2025-07-13,多云,1,多云,1,33,27,30.0,0
2025-07-12,阵雨,3,阵雨,3,31,26,28.5,0
2025-07-11,阵雨,3,阵雨,3,31,25,28.0,0
2025-07-10,大到暴雨,23,大到暴雨,23,29,25,27.0,0
2025-07-09,雷阵雨,4,阵雨,3,35,26,30.5,0
2025-07-08,多云,1,多云,1,33,28,30.5,0
2025-07-07,多云,1,多云,1,34,28,31.0,0
2025-07-06,晴,0,晴,0,35,27,31.0,0
2025-07-05,晴,0,多云,1,35,28,31.5,0
2025-07-04,晴,0,晴,0,34,28,31.0,0
2025-07-03,多云,1,晴,0,34,27,30.5,0
2025-07-02,阵雨,3,多云,1,32,26,29.0,0
2025-07-01,小雨,7,阵雨,3,31,26,28.5,0
2025-06-30,阵雨,3,阵雨,3,31,26,28.5,0
2025-06-29,阵雨,3,雷阵雨,4,31,26,28.5,0
2025-06-28,阵雨,3,阵雨,3,31,25,28.0,0
